donation_id,user_id,campaign_id,amount,status,created_at,is_recurring
1,1122.0,3.0,43.13,completed,2025-04-01 03:35:49,False
2,787.0,130.0,8.85,completed,2025-01-09 10:04:45,False
3,1095.0,5.0,12.77,completed,2025-11-01 17:09:22,False
4,551.0,189.0,73.51,completed,2025-04-01 10:29:09,False
5,1834.0,20.0,12.45,completed,2025-10-22 04:30:00,False
6,1937.0,204.0,84.61,completed,2025-07-18 21:07:17,False
7,447.0,38.0,0.0,failed,2025-01-12 09:26:24,False
8,1114.0,208.0,92.04,completed,2025-11-04 10:29:41,False
9,1454.0,101.0,58.86,completed,2025-11-27 14:54:42,False
10,1243.0,128.0,9.94,completed,2025-05-01 03:53:39,False
11,107.0,102.0,8.75,completed,2025-11-25 13:06:52,True
12,1500.0,36.0,12.23,completed,2025-10-06 11:07:31,False
13,916.0,174.0,13.99,completed,2025-12-22 10:58:00,False
14,1478.0,221.0,10.59,completed,2025-04-18 12:53:27,False
15,904.0,99.0,17.34,completed,2025-04-22 20:27:34,False
16,1632.0,113.0,55.46,completed,2025-06-11 19:35:00,False
17,1939.0,37.0,50.44,completed,2025-04-27 23:09:29,False
18,544.0,54.0,37.96,completed,2025-01-09 04:32:58,True
19,1150.0,149.0,25.23,completed,2025-07-08 13:46:27,False
20,1171.0,149.0,28.37,completed,2025-08-31 11:42:52,True
21,280.0,92.0,38.12,completed,2025-06-01 13:37:22,True
22,24.0,70.0,20.52,completed,2025-08-06 15:04:11,False
23,952.0,84.0,65.49,completed,2025-02-27 22:53:52,False
24,1745.0,188.0,10.47,completed,2025-02-07 09:15:20,True
25,120.0,164.0,16.1,completed,2025-12-12 21:29:34,False
26,1810.0,205.0,0.0,failed,2025-01-02 01:56:39,False
27,1676.0,232.0,43.21,refunded,2025-08-27 02:13:03,False
28,1321.0,11.0,11.47,completed,2025-02-19 12:15:12,False
29,855.0,88.0,14.39,completed,2025-03-18 20:31:27,False
30,1016.0,211.0,42.08,completed,2025-08-06 16:39:13,False
31,944.0,87.0,14.95,completed,2025-11-20 08:10:53,False
32,1106.0,31.0,58.59,completed,2025-10-10 07:49:36,True
33,448.0,101.0,57.5,completed,2025-10-27 07:14:39,False
34,1936.0,165.0,0.0,failed,2025-07-31 04:13:20,False
35,1744.0,60.0,33.18,completed,2025-10-10 14:35:09,True
36,996.0,61.0,155.63,completed,2025-08-05 10:24:56,False
37,1943.0,67.0,60.2,completed,2025-10-25 23:47:00,True
38,1494.0,226.0,44.49,completed,2025-11-23 14:23:42,False
39,1447.0,157.0,103.7,completed,2025-08-02 09:58:10,False
40,1569.0,195.0,13.86,completed,2025-05-29 14:38:19,False
41,1048.0,79.0,81.83,completed,2025-04-19 03:02:21,False
42,1085.0,71.0,39.82,completed,2025-08-13 06:17:59,False
43,1847.0,67.0,96.13,completed,2025-09-30 23:42:47,False
44,1725.0,128.0,0.0,failed,2025-05-24 20:39:26,True
45,84.0,111.0,91.29,completed,2025-10-02 11:21:34,False
46,225.0,235.0,7.43,completed,2025-11-24 13:39:25,False
47,1704.0,16.0,22.18,completed,2025-02-13 18:22:45,False
48,186.0,45.0,37.27,completed,2025-08-02 12:16:33,True
49,375.0,34.0,50.68,completed,2025-06-14 04:10:34,False
50,72.0,212.0,0.0,failed,2025-03-21 08:53:02,False
51,74.0,44.0,11.06,completed,2025-06-23 09:15:44,False
52,1921.0,117.0,12.59,completed,2025-10-23 01:16:05,False
53,1365.0,125.0,14.17,completed,2025-11-20 04:25:04,False
54,153.0,103.0,16.44,completed,2025-05-15 18:56:43,False
55,96.0,225.0,34.18,completed,2025-03-08 03:05:18,False
56,1589.0,206.0,97.61,completed,2025-09-03 19:40:41,False
57,445.0,120.0,22.19,completed,2025-11-05 07:49:37,False
