payment_id,donation_id,processor,payment_status,processed_at,gross_amount,fee_amount,net_amount
1,1,paypal,captured,2025-04-01 03:35:49,43.13,1.55,41.58
2,2,paypal,captured,2025-01-09 10:04:45,8.85,0.56,8.29
3,3,stripe,captured,2025-11-01 17:09:22,12.77,0.67,12.1
4,4,stripe,captured,2025-04-01 10:29:09,73.51,2.43,71.08
5,5,stripe,captured,2025-10-22 04:30:00,12.45,0.66,11.79
6,6,paypal,captured,2025-07-18 21:07:17,84.61,2.75,81.86
7,8,stripe,captured,2025-11-04 10:29:41,92.04,2.97,89.07
8,9,paypal,captured,2025-11-27 14:54:42,58.86,2.01,56.85
9,10,stripe,captured,2025-05-01 03:53:39,9.94,0.59,9.35
10,11,stripe,captured,2025-11-25 13:06:52,8.75,0.55,8.2
11,12,stripe,captured,2025-10-06 11:07:31,12.23,0.65,11.58
12,13,stripe,captured,2025-12-22 10:58:00,13.99,0.71,13.28
13,14,paypal,captured,2025-04-18 12:53:27,10.59,0.61,9.98
14,15,stripe,captured,2025-04-22 20:27:34,17.34,0.8,16.54
15,16,stripe,captured,2025-06-11 19:35:00,55.46,1.91,53.55
16,17,stripe,captured,2025-04-27 23:09:29,50.44,1.76,48.68
17,18,stripe,captured,2025-01-09 04:32:58,37.96,1.4,36.56
18,19,stripe,captured,2025-07-08 13:46:27,25.23,1.03,24.2
19,20,stripe,captured,2025-08-31 11:42:52,28.37,1.12,27.25
20,21,stripe,captured,2025-06-01 13:37:22,38.12,1.41,36.71
21,22,stripe,captured,2025-08-06 15:04:11,20.52,0.9,19.62
22,23,paypal,captured,2025-02-27 22:53:52,65.49,2.2,63.29
23,24,stripe,captured,2025-02-07 09:15:20,10.47,0.6,9.87
24,25,paypal,captured,2025-12-12 21:29:34,16.1,0.77,15.33
25,27,paypal,refunded,2025-08-27 02:13:03,43.21,1.55,41.66
26,28,stripe,captured,2025-02-19 12:15:12,11.47,0.63,10.84
27,29,stripe,captured,2025-03-18 20:31:27,14.39,0.72,13.67
28,30,stripe,captured,2025-08-06 16:39:13,42.08,1.52,40.56
29,31,stripe,captured,2025-11-20 08:10:53,14.95,0.73,14.22
30,32,stripe,captured,2025-10-10 07:49:36,58.59,2.0,56.59
31,33,stripe,captured,2025-10-27 07:14:39,57.5,1.97,55.53
32,35,stripe,captured,2025-10-10 14:35:09,33.18,1.26,31.92
33,36,venmo,captured,2025-08-05 10:24:56,155.63,4.81,150.82
34,37,paypal,captured,2025-10-25 23:47:00,60.2,2.05,58.15
35,38,stripe,captured,2025-11-23 14:23:42,44.49,1.59,42.9
36,39,stripe,captured,2025-08-02 09:58:10,103.7,3.31,100.39
37,40,stripe,captured,2025-05-29 14:38:19,13.86,0.7,13.16
38,41,stripe,captured,2025-04-19 03:02:21,81.83,2.67,79.16
39,42,venmo,captured,2025-08-13 06:17:59,39.82,1.45,38.37
40,43,stripe,captured,2025-09-30 23:42:47,96.13,3.09,93.04
41,45,paypal,captured,2025-10-02 11:21:34,91.29,2.95,88.34
42,46,stripe,captured,2025-11-24 13:39:25,7.43,0.52,6.91
43,47,stripe,captured,2025-02-13 18:22:45,22.18,0.94,21.24
44,48,stripe,captured,2025-08-02 12:16:33,37.27,1.38,35.89
45,49,paypal,captured,2025-06-14 04:10:34,50.68,1.77,48.91
46,51,venmo,captured,2025-06-23 09:15:44,11.06,0.62,10.44
47,52,stripe,captured,2025-10-23 01:16:05,12.59,0.67,11.92
48,53,stripe,captured,2025-11-20 04:25:04,14.17,0.71,13.46
49,54,stripe,captured,2025-05-15 18:56:43,16.44,0.78,15.66
50,55,stripe,captured,2025-03-08 03:05:18,34.18,1.29,32.89
51,56,stripe,captured,2025-09-03 19:40:41,97.61,3.13,94.48
52,57,stripe,captured,2025-11-05 07:49:37,22.19,0.94,21.25
53,58,stripe,captured,2025-03-21 17:42:06,103.2,3.29,99.91
54,59,stripe,refunded,2025-06-22 00:05:58,32.07,1.23,30.84
55,60,stripe,captured,2025-11-02 07:02:35,25.25,1.03,24.22
56,61,stripe,captured,2025-08-27 06:01:45,69.14,2.31,66.83
57,62,stripe,captured,2025-05-09 07:01:21,26.45,1.07,25.38
58,63,paypal,captured,2025-05-10 04:03:13,16.03,0.76,15.27
59,64,paypal,captured,2025-01-28 22:59:17,86.56,2.81,83.75
60,65,stripe,captured,2025-09-27 00:22:43,29.06,1.14,27.92
61,67,paypal,captured,2025-12-16 09:06:02,22.56,0.95,21.61
62,68,stripe,captured,2025-09-14 07:15:53,10.33,0.6,9.73
